fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;alc_over_density;free_tot_so2_ratio;sulphates_chlorides;citric_over_volatile;sugar_over_density
8.0;0.57;0.23;3.2;0.073;17.0;119.0;0.99675;3.26;0.57;9.3;9.330314190805929;0.1428571416566627;7.808112217640854;0.40350806402094036;3.210430689309567
8.0;0.48;0.34;2.2;0.073;16.0;25.0;0.9936;3.28;0.66;12.4;12.479858615279172;0.639999974400001;9.040972041478884;0.7083318576419634;2.214168464001143
7.9;0.33;0.23;1.7;0.077;18.0;45.0;0.99625;3.29;0.65;9.3;9.334996903390813;0.39999999111111134;8.441448812353087;0.6969675849467123;1.7063972834155248
6.7;0.46;0.24;1.7;0.077;18.0;34.0;0.9948;3.39;0.6;10.6;10.655397411140518;0.5294117491349486;7.792106596018233;0.5217379962217473;1.7088844904659322
6.1;0.48;0.09;1.7;0.078;18.0;30.0;0.99402;3.45;0.54;11.2;11.267367590825545;0.5999999800000007;6.922988166818374;0.1874996093758138;1.7102254378931632
9.8;0.66;0.39;3.2;0.083;21.0;59.0;0.9989;3.37;0.71;11.5;11.512652404993087;0.3559321973570814;8.55411380585776;0.590908195593643;3.2035206692154676
10.6;0.48;0.64;2.2;0.111;6.0;20.0;0.997;3.26;0.66;11.7;11.735193846345188;0.29999998500000075;5.945892379347934;1.3333305555613428;2.206617646321318
11.4;0.36;0.69;2.1;0.09;6.0;21.0;1.0;3.17;0.62;9.2;9.1999908000092;0.28571427210884415;6.888812346529483;1.9166613426073817;2.0999979000021
11.0;0.3;0.58;2.1;0.054;7.0;19.0;0.998;3.31;0.88;10.5;10.521031542052564;0.36842103324099823;16.295994518620027;1.9333268889103703;2.1042063084105127
7.6;0.665;0.1;1.5;0.066;27.0;55.0;0.99655;3.39;0.51;9.3;9.332186711969584;0.4909090819834713;7.72715564915683;0.15037571372073125;1.5051914051563842
7.3;0.55;0.01;1.8;0.093;9.0;15.0;0.99514;3.35;0.58;11.0;11.05370997677716;0.5999999600000027;6.236492080730314;0.018181785124027044;1.808788905290808
9.9;0.32;0.56;2.0;0.073;3.0;8.0;0.99534;3.15;0.73;11.4;11.453361209876816;0.3749999531250059;9.99986301557513;1.7499945312670901;2.009361615767862
6.2;0.45;0.2;1.6;0.069;3.0;15.0;0.9958;3.41;0.56;9.2;9.238793694724146;0.19999998666666757;8.115824408341908;0.4444434567923183;1.6067467295172428
8.4;1.035;0.15;6.0;0.073;11.0;54.0;0.999;3.37;0.49;9.9;9.9098999900901;0.20370369993141296;6.712236818673717;0.1449273962054143;6.005999993994
9.9;0.49;0.58;3.5;0.094;9.0;43.0;1.0004;3.29;0.58;9.0;8.996392446628903;0.20930232071389954;6.1701471260944025;1.1836710537325434;3.4985970625779066
7.2;0.45;0.15;2.0;0.078;10.0;28.0;0.99609;3.29;0.51;9.9;9.938850968435615;0.35714284438775556;6.538377713106242;0.3333325925942387;2.0078486804920432
12.7;0.6;0.49;2.8;0.075;5.0;19.0;0.9994;3.14;0.57;11.4;11.406832692782977;0.26315788088642733;7.599898668017759;0.816665305557824;2.8016782052449414
7.7;0.28;0.3;2.0;0.062;18.0;34.0;0.9952;3.28;0.9;11.3;11.354490198462422;0.5294117491349486;14.515894904920888;1.0714247449116252;2.009644282913703
11.9;0.37;0.69;2.3;0.078;12.0;24.0;0.9958;3.0;0.65;12.8;12.853973836137943;0.4999999791666675;8.333226497096192;1.8648598247031765;2.3096984236810365
