fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;alc_over_density;free_tot_so2_ratio;sulphates_chlorides;citric_over_volatile;sugar_over_density
7.4;0.18;0.36;13.1;0.056;72.0;163.0;1.0;3.42;0.35;9.1;9.0999909000091;0.4417177887011179;6.249888394850092;1.999988888950617;13.0999869000131
7.7;0.39;0.49;7.7;0.036;11.0;110.0;0.9966;3.33;0.76;10.0;10.034105926042619;0.0999999990909091;21.110524707647013;1.2564070348537568;7.726261563052816
6.7;0.33;0.49;1.6;0.167;20.0;94.0;0.9914;3.11;0.5;11.4;11.498878859311217;0.2127659551833409;2.9939940479398324;1.4848439853212567;1.613877734640171
7.5;0.2;0.49;1.3;0.031;8.0;97.0;0.9918;3.06;0.62;11.1;11.191761250492789;0.08247422595387396;19.99935485952066;2.4499877500612497;1.3107468131207773
6.3;0.23;0.22;17.45;0.054;42.0;151.0;0.99853;3.12;0.6;9.3;9.313681798562088;0.27814569352221397;11.110905353604563;0.9565175803583462;17.47567176181811
6.9;0.29;0.25;12.2;0.04;29.0;136.0;0.99552;3.05;0.65;10.4;10.446791177684851;0.2132352925497405;16.249593760155996;0.8620659928758868;12.254889650745689
7.4;0.21;0.8;12.3;0.038;77.0;183.0;0.99778;2.95;0.48;9.0;9.020015414204119;0.42076502502314195;12.631246546143522;3.809505669020624;12.327354399412297
7.9;0.345;0.51;15.3;0.047;54.0;171.0;0.9987;3.09;0.51;9.1;9.111836275321641;0.31578947183748846;10.85083296100083;1.4782565847635227;15.31990055081551
8.0;0.22;0.42;14.6;0.044;45.0;163.0;1.0003;3.21;0.69;8.6;8.59741217893414;0.2760736179381987;15.681461784959431;1.9090822314444025;14.595606722376566
6.3;0.23;0.3;1.8;0.033;16.0;91.0;0.9906;3.28;0.4;11.8;11.911960516898327;0.17582417389204205;12.120844822884155;1.3043421550341083;1.817078722916694
6.6;0.28;0.09;10.9;0.051;37.0;131.0;0.99566;2.93;0.62;9.5;9.541400135186574;0.2824427459355516;12.15662437991412;0.3214274234734876;10.947501207740386
9.6;0.655;0.21;2.0;0.039;21.0;120.0;0.99188;3.0;1.0;12.6;12.70313676741464;0.17499999854166667;25.64036819568729;0.32061019754168313;2.016370915462641
7.5;0.32;0.49;1.7;0.031;44.0;109.0;0.9906;3.07;0.46;12.5;12.61860224247704;0.4036697210672503;14.838231024805651;1.5312452148587037;1.7161299049768775
8.5;0.19;0.48;1.1;0.026;23.0;58.0;0.99184;2.9;0.5;10.5;10.586374227320709;0.3965517173008325;19.230029614245606;2.526302493144773;1.1090487285764552
5.0;0.455;0.18;1.9;0.036;33.0;106.0;0.98746;3.21;0.83;14.0;14.177775122257993;0.3113207517799929;23.054915141246077;0.3956035261460964;1.9241266237350132
7.6;0.19;0.32;18.75;0.047;32.0;193.0;1.00014;3.1;0.5;9.3;9.298688884867236;0.1658031079492067;10.63807153039297;1.6842016620965152;18.747356622716197
5.7;0.4;0.35;5.1;0.026;17.0;113.0;0.99052;3.18;0.67;12.4;12.518664420037537;0.15044247654475684;25.768239683089114;0.8749978125054687;5.148805527596083
7.3;0.17;0.24;8.1;0.121;32.0;162.0;0.99508;3.17;0.38;10.4;10.451410488191414;0.19753086297820455;3.1404699134717897;1.4117564014329327;8.140040860995235
6.0;0.2;0.71;1.6;0.15;10.0;54.0;0.9927;3.12;0.47;9.8;9.872056137749434;0.18518518175583;3.133312444583703;3.5499822500887492;1.6117642673876627
5.7;0.43;0.3;5.7;0.039;24.0;98.0;0.992;3.54;0.61;12.3;12.399181049212652;0.24489795668471473;15.640624599369247;0.6976727961097765;5.745961949635132
4.8;0.29;0.23;1.1;0.044;38.0;180.0;0.98924;3.28;0.34;11.9;12.029424579045955;0.21111110993827162;7.727097111429287;0.7931007134458159;1.1119636165504665
6.6;0.39;0.39;11.9;0.057;51.0;221.0;0.99851;3.26;0.51;8.9;8.913271861802224;0.23076922972502611;8.94721145243066;0.9999974359040106;11.917745523083871
6.8;0.26;0.24;7.8;0.052;54.0;214.0;0.9961;3.13;0.47;8.9;8.9348369291869;0.2523364474189886;9.038287725236053;0.92307337279472;7.830531241309867
7.8;0.24;0.18;6.7;0.046;33.0;160.0;0.9963;3.2;0.56;9.8;9.836384787328328;0.20624999871093752;12.17364839894785;0.7499968750130208;6.724875313785693
7.3;0.28;0.42;14.4;0.04;49.0;173.0;0.9994;3.28;0.82;9.0;9.005394231144455;0.2832369925824451;20.499487512812177;1.4999946428762754;14.40863076983113
7.0;0.29;0.49;3.8;0.047;37.0;136.0;0.9938;2.95;0.4;9.4;9.458634072616148;0.27205882152897926;8.510457224314376;1.689649346036738;3.8237031357384423
7.1;0.37;0.32;1.4;0.037;27.0;126.0;0.9918;3.19;0.62;12.0;12.099201351884098;0.21428571258503404;16.756303883678818;0.8648625273985747;1.4115734910531446
6.4;0.28;0.36;1.3;0.053;28.0;186.0;0.99211;3.31;0.45;10.8;10.885878697040956;0.15053763359926003;8.49040584139922;1.2857096938939503;1.3103372505697446
